Time,Node,Node State Changes,Idle Time,Resource Requests
260,Node_0,86,0,0
260,Node_1,51,0,0
260,Node_2,129,0,0
261,Node_0,86,0,0
261,Node_1,52,0,0
261,Node_2,130,0,0
262,Node_0,87,0,0
262,Node_1,52,0,0
262,Node_2,130,0,0
263,Node_0,87,0,0
263,Node_1,52,0,0
263,Node_2,131,0,0
264,Node_0,87,0,0
264,Node_1,52,0,0
264,Node_2,131,0,0
265,Node_0,88,0,0
265,Node_1,52,0,0
265,Node_2,132,0,0
266,Node_0,88,0,0
266,Node_1,53,0,0
266,Node_2,132,0,0
267,Node_0,88,0,0
267,Node_1,53,0,0
267,Node_2,133,0,0
268,Node_0,89,0,0
268,Node_1,53,0,0
268,Node_2,133,0,0
269,Node_0,89,0,0
269,Node_1,53,0,0
269,Node_2,134,0,0
270,Node_0,89,0,0
270,Node_1,53,0,0
270,Node_2,134,0,0
271,Node_0,90,0,0
271,Node_1,54,0,0
271,Node_2,135,0,0
272,Node_0,90,0,0
272,Node_1,54,0,0
272,Node_2,135,0,0
273,Node_0,90,0,0
273,Node_1,54,0,0
273,Node_2,136,0,0
274,Node_0,91,0,0
274,Node_1,54,0,0
274,Node_2,136,0,0
275,Node_0,91,0,0
275,Node_1,54,0,0
275,Node_2,137,0,0
276,Node_0,91,0,0
276,Node_1,55,0,0
276,Node_2,137,0,0
277,Node_0,92,0,0
277,Node_1,55,0,0
277,Node_2,138,0,0
278,Node_0,92,0,0
278,Node_1,55,0,0
278,Node_2,138,0,0
279,Node_0,92,0,0
279,Node_1,55,0,0
279,Node_2,139,0,0
280,Node_0,93,0,0
280,Node_1,55,0,0
280,Node_2,139,0,0
281,Node_0,93,0,0
281,Node_1,56,0,0
281,Node_2,140,0,0
282,Node_0,93,0,0
282,Node_1,56,0,0
282,Node_2,140,0,0
283,Node_0,94,0,0
283,Node_1,56,0,0
283,Node_2,141,0,0
284,Node_0,94,0,0
284,Node_1,56,0,0
284,Node_2,141,0,0
285,Node_0,94,0,0
285,Node_1,56,0,0
285,Node_2,142,0,0
286,Node_0,95,0,0
286,Node_1,57,0,0
286,Node_2,142,0,0
287,Node_0,95,0,0
287,Node_1,57,0,0
287,Node_2,143,0,0
288,Node_0,95,0,0
288,Node_1,57,0,0
288,Node_2,143,0,0
289,Node_0,96,0,0
289,Node_1,57,0,0
289,Node_2,144,0,0
290,Node_0,96,0,0
290,Node_1,57,0,0
290,Node_2,144,0,0
291,Node_0,96,0,0
291,Node_1,58,0,0
291,Node_2,145,0,0
292,Node_0,97,0,0
292,Node_1,58,0,0
292,Node_2,145,0,0
293,Node_0,97,0,0
293,Node_1,58,0,0
293,Node_2,146,0,0
294,Node_0,97,0,0
294,Node_1,58,0,0
294,Node_2,146,0,0
295,Node_0,98,0,0
295,Node_1,58,0,0
295,Node_2,147,0,0
296,Node_0,98,0,0
296,Node_1,59,0,0
296,Node_2,147,0,0
297,Node_0,98,0,0
297,Node_1,59,0,0
297,Node_2,148,0,0
298,Node_0,99,0,0
298,Node_1,59,0,0
298,Node_2,148,0,0
299,Node_0,99,0,0
299,Node_1,59,0,0
299,Node_2,149,0,0
300,Node_0,99,0,0
300,Node_1,59,0,0
300,Node_2,149,0,0
301,Node_0,100,0,0
301,Node_1,60,0,0
301,Node_2,150,0,0
302,Node_0,100,0,0
302,Node_1,60,0,0
302,Node_2,150,0,0
303,Node_0,100,0,0
303,Node_1,60,0,0
303,Node_2,151,0,0
304,Node_0,101,0,0
304,Node_1,60,0,0
304,Node_2,151,0,0
305,Node_0,101,0,0
305,Node_1,60,0,0
305,Node_2,152,0,0
306,Node_0,101,0,0
306,Node_1,61,0,0
306,Node_2,152,0,0
307,Node_0,102,0,0
307,Node_1,61,0,0
307,Node_2,153,0,0
308,Node_0,102,0,0
308,Node_1,61,0,0
308,Node_2,153,0,0
309,Node_0,102,0,0
309,Node_1,61,0,0
309,Node_2,154,0,0
310,Node_0,103,0,0
310,Node_1,61,0,0
310,Node_2,154,0,0
311,Node_0,103,0,0
311,Node_1,62,0,0
311,Node_2,155,0,0
312,Node_0,103,0,0
312,Node_1,62,0,0
312,Node_2,155,0,0
313,Node_0,104,0,0
313,Node_1,62,0,0
313,Node_2,156,0,0
314,Node_0,104,0,0
314,Node_1,62,0,0
314,Node_2,156,0,0
315,Node_0,104,0,0
315,Node_1,62,0,0
315,Node_2,157,0,0
316,Node_0,105,0,0
316,Node_1,63,0,0
316,Node_2,157,0,0
317,Node_0,105,0,0
317,Node_1,63,0,0
317,Node_2,158,0,0
318,Node_0,105,0,0
318,Node_1,63,0,0
318,Node_2,158,0,0
319,Node_0,106,0,0
319,Node_1,63,0,0
319,Node_2,159,0,0
320,Node_0,106,0,0
320,Node_1,63,0,0
320,Node_2,159,0,0
321,Node_0,106,0,0
321,Node_1,64,0,0
321,Node_2,160,0,0
322,Node_0,107,0,0
322,Node_1,64,0,0
322,Node_2,160,0,0
323,Node_0,107,0,0
323,Node_1,64,0,0
323,Node_2,161,0,0
324,Node_0,107,0,0
324,Node_1,64,0,0
324,Node_2,161,0,0
325,Node_0,108,0,0
325,Node_1,64,0,0
325,Node_2,162,0,0
326,Node_0,108,0,0
326,Node_1,65,0,0
